# frame	rmsd_ca_A
0	NaN
1	NaN
2	NaN
3	NaN
4	NaN
5	NaN
6	NaN
7	NaN
8	NaN
9	7.315
10	7.260
11	7.109
12	7.202
13	7.452
14	7.314
15	7.273
16	7.294
17	7.449
18	7.338
19	7.577
20	7.692
21	7.629
22	7.642
23	7.284
24	7.140
25	7.297
26	7.464
27	7.591
28	7.723
29	7.493
30	7.394
31	7.651
32	7.533
33	7.644
34	7.733
35	7.976
36	7.807
37	7.793
38	7.783
39	7.614
40	7.337
41	7.296
42	7.163
43	7.069
44	7.006
45	6.938
46	6.954
47	6.889
48	6.787
49	6.988
50	6.732
51	6.729
52	6.606
53	6.638
54	6.500
55	6.356
56	6.384
57	6.570
58	6.787
59	6.903
60	6.878
61	6.711
62	6.510
63	6.524
64	6.558
65	6.428
66	6.014
67	5.779
68	5.364
69	5.055
70	5.003
71	5.486
72	5.589
73	5.825
74	5.897
75	6.128
76	5.895
77	5.759
78	5.483
79	5.364
80	5.282
81	5.207
82	5.332
83	5.583
84	5.554
85	5.641
86	5.489
87	5.265
88	5.307
89	5.475
90	5.416
91	5.145
92	4.788
93	4.692
94	4.759
95	4.604
96	4.494
97	4.619
98	4.197
99	3.852
100	4.052
101	3.947
102	3.767
103	3.742
104	3.563
105	3.595
106	3.484
107	3.212
108	2.984
109	2.943
110	3.096
111	3.482
112	3.607
113	3.814
114	3.854
115	3.709
116	3.499
117	3.614
118	3.643
119	3.824
120	4.026
121	3.758
122	3.652
123	3.687
124	3.878
125	3.927
126	4.131
127	4.107
128	4.300
129	4.348
130	4.450
131	4.444
132	4.435
133	4.335
134	4.154
135	4.096
136	4.010
137	3.931
138	3.958
139	3.829
140	3.835
141	4.017
142	4.222
143	4.134
144	4.106
145	4.204
146	4.281
147	4.127
148	4.065
149	4.180
150	4.316
151	4.183
152	4.507
153	4.335
154	4.359
155	4.136
156	4.212
157	4.034
158	4.031
159	3.862
160	3.975
161	3.866
162	3.889
163	3.967
164	4.078
165	4.131
166	4.042
167	4.064
168	4.203
169	4.195
170	4.302
171	4.182
172	4.261
173	4.386
174	4.483
175	4.340
176	4.513
177	4.492
178	4.537
179	4.291
180	4.298
181	4.335
182	4.314
183	4.214
184	4.333
185	4.200
186	3.854
187	3.836
188	3.777
189	4.036
190	3.832
191	3.973
192	4.158
193	4.241
194	4.117
195	4.405
196	4.708
197	4.567
198	4.282
199	4.299
200	4.254
201	4.103
202	4.178
203	4.128
204	3.983
205	3.931
206	3.939
207	3.772
208	3.809
209	3.700
210	3.767
211	3.813
212	3.742
213	3.723
214	3.780
215	3.722
216	3.812
217	3.719
218	3.735
219	3.729
220	3.781
221	3.907
222	3.799
223	3.920
224	4.150
225	4.120
226	4.051
227	4.200
228	4.366
229	4.475
230	4.277
231	4.107
232	3.982
233	3.823
234	3.763
235	4.010
236	3.955
237	3.684
238	3.616
239	3.762
240	3.683
241	3.360
242	3.233
243	3.561
244	3.939
245	4.059
246	3.971
247	3.812
248	3.744
249	3.728
250	3.611
251	3.372
252	3.370
253	3.424
254	3.376
255	3.194
256	3.110
257	3.220
258	3.060
