# frame	rmsd_ca_A
0	0.129
1	1.884
2	1.983
3	2.005
4	1.437
5	1.900
6	1.620
7	1.937
8	2.286
9	1.526
10	1.374
11	1.820
12	2.785
13	2.752
14	1.968
15	1.804
16	2.475
17	1.822
18	2.033
19	1.689
20	2.654
21	3.040
22	2.682
23	2.368
24	2.389
25	2.332
26	2.540
27	2.482
28	2.386
29	2.521
30	2.295
31	1.656
32	2.111
33	2.710
34	2.252
35	2.897
36	2.876
37	3.420
38	3.698
39	2.953
40	3.197
41	2.769
42	2.899
43	2.456
44	3.286
45	2.732
46	2.713
47	3.273
48	2.703
49	2.530
50	3.410
min RMSD over 51 frames: 0.129 Å at frame 0
