# frame	rmsd_ca_A	rg_ca_A	end_to_end_A	n_residues	n_atoms	pct_helix	pct_strand	ss_string	cluster_id
0	8.653	9.746	30.407	10	135	0.0	80.0	CEEEEEEEEC	1
1	8.399	9.703	30.152	10	135	0.0	60.0	CEEECECEEC	1
2	7.602	9.118	27.959	10	135	0.0	80.0	CEEEEEEEEC	1
3	7.440	9.175	27.808	10	135	0.0	70.0	CEEEEECEEC	1
4	6.526	8.477	24.582	10	135	0.0	70.0	CEEEEEECEC	1
5	6.824	8.657	25.115	10	135	0.0	80.0	CEEEEEEEEC	1
6	6.924	8.771	24.894	10	135	0.0	60.0	CEEEEECCEC	1
7	7.253	9.019	27.121	10	135	0.0	70.0	CEEEEECEEC	1
8	7.886	9.050	28.314	10	135	0.0	70.0	CEECEEEEEC	1
9	7.850	9.235	28.847	10	135	0.0	60.0	CEECEECEEC	1
10	7.395	8.850	26.870	10	135	0.0	70.0	CEEEEECEEC	1
11	7.446	8.658	26.387	10	135	0.0	70.0	CEEEEECEEC	1
12	7.582	8.929	26.963	10	135	0.0	50.0	CECCEECEEC	1
13	7.435	9.049	27.052	10	135	0.0	70.0	CEECEEEEEC	1
14	6.979	8.851	26.054	10	135	0.0	60.0	CEECEECEEC	1
15	7.104	8.794	26.083	10	135	0.0	50.0	CEECCECEEC	1
16	6.213	8.560	22.828	10	135	0.0	70.0	CEEEEECEEC	2
17	5.675	8.169	20.399	10	135	0.0	70.0	CEEEEECEEC	2
18	5.576	8.093	19.846	10	135	0.0	80.0	CEEEEEEEEC	2
19	5.617	8.174	21.206	10	135	0.0	70.0	CEEEEECEEC	2
20	6.087	7.799	21.999	10	135	10.0	40.0	CECEEECHCC	0
21	5.718	7.643	21.835	10	135	10.0	20.0	CECECCCHCC	0
22	5.557	7.347	21.165	10	135	0.0	30.0	CEECECCCCC	0
23	4.821	7.176	18.817	10	135	20.0	50.0	CEEEECEHHC	0
24	4.550	6.444	15.368	10	135	0.0	60.0	CEEECECEEC	0
25	4.952	6.571	16.756	10	135	10.0	60.0	CEEEHECEEC	0
26	4.515	6.921	17.217	10	135	0.0	30.0	CCEEECCCCC	0
