# frame	rmsd_ca_A
0	8.763
1	6.717
2	7.106
3	6.267
4	5.196
5	4.803
6	3.662
7	4.799
8	3.984
9	3.417
10	2.923
11	2.882
12	2.894
13	2.818
14	2.086
15	2.449
16	1.819
17	1.882
18	2.014
19	2.600
20	3.683
21	2.692
22	2.411
23	2.647
24	2.759
25	2.095
26	1.881
27	1.914
28	3.249
29	3.149
30	4.180
31	3.211
32	2.816
33	3.791
34	3.064
35	2.923
36	2.834
37	3.654
38	3.726
39	2.687
40	3.872
41	3.249
42	2.770
43	2.342
44	2.971
45	3.258
46	3.025
47	3.264
48	3.465
49	3.383
50	3.989
min RMSD over 51 frames: 1.819 Å at frame 16
