# frame	rmsd_ca_A
0	8.763
1	7.753
2	7.589
3	7.375
4	7.677
5	6.999
6	5.382
7	3.485
8	2.350
9	2.417
10	2.698
11	3.284
12	3.029
13	2.797
14	2.847
15	2.864
16	2.733
17	2.917
18	2.773
19	3.074
20	3.018
21	2.971
22	3.025
23	2.478
24	2.799
25	2.042
26	2.342
27	2.352
28	2.743
29	2.484
30	3.051
31	3.052
32	3.072
33	3.226
34	3.026
35	2.964
36	2.946
37	2.595
38	2.508
39	3.005
40	2.464
41	2.649
42	2.387
43	2.625
44	2.499
45	2.792
46	2.716
47	2.397
48	2.572
49	2.743
50	2.892
min RMSD over 51 frames: 2.042 Å at frame 25
