# frame	rmsd_ca_A
0	8.763
1	7.424
2	7.084
3	7.489
4	6.514
5	6.999
6	6.546
7	7.029
8	7.214
9	6.847
10	6.083
11	6.229
12	6.664
13	6.159
14	5.743
15	5.331
16	5.741
17	5.134
18	5.607
19	5.056
20	4.630
21	5.262
22	4.998
23	5.088
24	5.264
25	4.742
26	4.934
27	4.788
28	5.017
29	4.695
30	4.535
31	4.385
32	5.159
33	4.534
34	4.233
35	4.262
36	4.401
37	4.703
38	4.614
39	4.789
40	4.829
41	5.041
42	5.202
43	4.813
44	4.745
45	5.036
46	4.673
47	4.659
48	4.778
49	4.546
50	4.682
min RMSD over 51 frames: 4.233 Å at frame 34
