# frame	rmsd_ca_A
0	8.763
1	7.743
2	7.308
3	7.304
4	7.286
5	6.851
6	5.345
7	3.782
8	3.565
9	3.396
10	3.433
11	4.120
12	3.754
13	3.428
14	3.418
15	2.992
16	2.817
17	3.190
18	3.206
19	3.819
20	3.475
21	4.103
22	4.431
23	3.536
24	3.244
25	3.149
26	3.508
27	4.077
28	3.221
29	3.126
30	3.105
31	3.048
32	3.207
33	3.183
34	3.046
35	2.983
36	3.694
37	3.685
38	3.872
39	3.833
40	3.362
41	3.831
42	3.628
43	3.788
44	3.812
45	4.014
46	4.013
47	3.656
48	3.544
49	3.781
50	3.428
min RMSD over 51 frames: 2.817 Å at frame 16
